_id,case_no,ap_case_defn_key,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
1644,V703432,1013,2024-02-06 15:08:37,Closed,116,N/A,Unsafe Structures,565,,River,ST,Mattapan,MA,02126,18,79 GREAT ROAD,,MAYNARD,MA,01795,116633,42.2669099997732,-71.09629000081304,"(42.2669099997732, -71.09629000081304)"
1645,V715543,1013,2024-02-06 15:06:30,Open,105.1,N/A,Failure to Obtain Permit,565,,River,ST,Mattapan,MA,02126,18,79 Great Rd,,Maynard,MA,01795,116633,42.2669099997732,-71.09629000081304,"(42.2669099997732, -71.09629000081304)"
1646,V702318,1013,2024-02-06 15:04:06,Closed,3310.2,N/A,Maintenance of Means of Egress,26,,Philbrick,ST,Roslindale,MA,02131,18,26 PHILBRICK STREET,,ROSLINDALE,MA,02131,109955,42.285860000376246,-71.11779000109213,"(42.285860000376246, -71.11779000109213)"
1647,V709432,1013,2024-02-06 14:58:11,Closed,105.1,N/A,Failure to Obtain Permit,7,,Mamelon,CI,Mattapan,MA,02126,18,7 MAMELON CIRCLE,,MATTAPAN,MA,02126,88860,42.2707600004888,-71.08941000148259,"(42.2707600004888, -71.08941000148259)"
1648,V709441,1013,2024-02-06 14:54:50,Closed,3307.1,N/A,Protection of Adj. Property,568,,Norfolk,ST,Mattapan,MA,02126,18,568 NORFOLK STREET,,MATTAPAN,MA,02126,103379,42.27743000036715,-71.09125000205023,"(42.27743000036715, -71.09125000205023)"
1649,V708088,1013,2024-02-06 14:53:02,Closed,105.1,N/A,Failure to Obtain Permit,22,,Ledgebrook,RD,Mattapan,MA,02126,18,65 COLUMBINE ROAD,,MILTON,MA,02186,84804,42.270089999507825,-71.08318000065464,"(42.270089999507825, -71.08318000065464)"
1650,V716088,1013,2024-02-06 13:47:14,Open,102.8,N/A,Maintenance,11,,Fayston,ST,Dorchester,MA,02121,14,311 GEROGETOWN DRIVE,,HYDEPARK,MA,02136,57040,42.31349000028366,-71.07840000155677,"(42.31349000028366, -71.07840000155677)"
1651,V716053,1013,2024-02-06 12:00:49,Open,105.1,N/A,Failure to Obtain Permit,11,,Fayston,ST,Dorchester,MA,02121,14,311 Georgetown Dr,,Hyde Park,MA,02136,57040,42.31349000028366,-71.07840000155677,"(42.31349000028366, -71.07840000155677)"
1652,V588370,1013,2024-02-06 10:41:32,Open,105.1,N/A,Failure to Obtain Permit,118,,Highland,ST,Roxbury,MA,02119,11,23 HIGHLAND PARK AV,,ROXBURY,MA,02119,73683,42.32607999936222,-71.09281000162527,"(42.32607999936222, -71.09281000162527)"
1653,V592036,1013,2024-02-06 10:37:20,Open,107.4,N/A,Failed to comply w permit term,118,,Highland,ST,Roxbury,MA,02119,11,23 HIGHLAND PARK AV,,ROXBURY,MA,02119,73683,42.32607999936222,-71.09281000162527,"(42.32607999936222, -71.09281000162527)"
1654,V599270,1013,2024-02-06 10:18:18,Open,102.8,N/A,Maintenance,11,,Fayston,ST,Dorchester,MA,02121,14,311 Georgetowne Drive,,Hyde Park,MA,02136,57040,42.31349000028366,-71.07840000155677,"(42.31349000028366, -71.07840000155677)"
1655,V738385,1013,2024-02-06 08:22:18,Closed,102.8,N/A,Maintenance,858,,Huntington,AV,Mission Hill,MA,02120,10,c/o IAN ZANG,15 N BEACON ST #1A,ALLSTON,MA,02134,76452,42.33275000013381,-71.1104300020636,"(42.33275000013381, -71.1104300020636)"
1656,V738256,1013,2024-02-05 15:22:17,Closed,105.1,N/A,Failure to Obtain Permit,123,,Nottinghill,RD,Brighton,MA,02135,21,123 NOTTINGHILL RD,,BRIGHTON,MA,02135,104234,42.343919999792185,-71.1485800013088,"(42.343919999792185, -71.1485800013088)"
1657,V738250,1013,2024-02-05 15:14:55,Closed,105.1,N/A,Failure to Obtain Permit,272,276,Hyde Park,AV,Jamaica Plain,MA,02130,19,274 HYDE PARK AVE,,JAMAICA PLAIN,MA,02130,77289,42.292149999993775,-71.11758000109351,"(42.292149999993775, -71.11758000109351)"
1658,V679074,1013,2024-02-05 15:02:11,Closed,116,N/A,Unsafe Structures,44,,Longfellow,ST,Dorchester,MA,02122,15,44 LONGFELLOW ST,,DORCHESTER,MA,02122,87143,42.30320999945428,-71.06471000115708,"(42.30320999945428, -71.06471000115708)"
1659,V709059,1013,2024-02-05 14:59:52,Closed,105.1,N/A,Failure to Obtain Permit,67,,Condor,ST,East Boston,MA,02128,01,C/O PETER  BARTASH,207 MARION STREET #3,EAST BOSTON,MA,02128,42059,42.382459999835554,-71.03770000034122,"(42.382459999835554, -71.03770000034122)"
1660,V691831,1013,2024-02-05 14:52:59,Open,105.1,N/A,Failure to Obtain Permit,202,,Paris,ST,East Boston,MA,02128,01,2 CARLSON CIRCLE,,WEST ROXBURY,MA,02132,459307,42.374701397098136,-71.0353191983312,"(42.374701397098136, -71.0353191983312)"
1661,V721070,1013,2024-02-05 14:49:05,Closed,116,N/A,Unsafe Structures,2,,Hartford,ST,Dorchester,MA,02125,13,2 Hartford Street,Unit 2,Dorchester,MA,02124,70208,42.31827000006977,-71.07395000044585,"(42.31827000006977, -71.07395000044585)"
1662,V718392,1013,2024-02-05 14:38:44,Closed,903.5,N/A,Fire Protection Systems,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 CENTRE ST,,JAMAICA PLAIN,MA,02130,162187,42.303724994086366,-71.08471089976244,"(42.303724994086366, -71.08471089976244)"
1663,V658965,1013,2024-02-05 14:36:57,Closed,105.1,N/A,Failure to Obtain Permit,52,,Nixon,ST,Dorchester,MA,02124,16,52 NIXON STREET,,DORCHESTER,MA,02124,168110,42.29254468618606,-71.06448701064161,"(42.29254468618606, -71.06448701064161)"
1664,V598497,1013,2024-02-05 14:33:49,Closed,104.6,N/A,Right of Entry,26,,Fendale,AV,Dorchester,MA,02124,17,26 FENDALE AVE,,DORCHESTER,MA,02124,57338,42.27888999978249,-71.07115000082617,"(42.27888999978249, -71.07115000082617)"
1665,V705125,1013,2024-02-05 14:31:00,Closed,105.1,N/A,Failure to Obtain Permit,26,,Fendale,AV,Dorchester,MA,02124,17,26 FENDALE AVE,,DORCHESTER,MA,02124,57338,42.27888999978249,-71.07115000082617,"(42.27888999978249, -71.07115000082617)"
1666,V705110,1013,2024-02-05 14:25:41,Closed,110.5,N/A,Inspections,26,,Fendale,AV,Dorchester,MA,02124,17,26 FENDALE AVE,,DORCHESTER,MA,02124,57338,42.27888999978249,-71.07115000082617,"(42.27888999978249, -71.07115000082617)"
1667,V674243,1013,2024-02-05 11:56:19,Closed,116,N/A,Unsafe Structures,9,,Munroe,TE,Dorchester,MA,02122,16,9-11 SOUTH MUNROE TERRACE,,DORCHESTER,MA,02122,379192,42.29258000041469,-71.05114000179245,"(42.29258000041469, -71.05114000179245)"
1668,V708104,1013,2024-02-05 11:26:09,Closed,105.1,N/A,Failure to Obtain Permit,464,,Beacon,ST,Boston,MA,02115,05,21 Kings Grant Road,,Weston,MA,02493,11541,42.35150000008176,-71.08802000121896,"(42.35150000008176, -71.08802000121896)"
1669,V737736,1013,2024-02-01 15:57:16,Closed,102.8,N/A,Maintenance,199,,Putnam,ST,East Boston,MA,02128,01,100 DAVIS ST,,REVERE,MA,02151,113654,42.37656999987716,-71.03012000098713,"(42.37656999987716, -71.03012000098713)"
1670,V737658,1013,2024-02-01 10:17:57,Closed,111.1,N/A,Certificate of Occupancy,1174,1178,River,ST,Hyde Park,MA,02136,18,15 Algonquin Rd,,Chestnut Hill,MA,02467,169173,42.2558866949983,-71.12077022266,"(42.2558866949983, -71.12077022266)"
1671,V737653,1013,2024-02-01 10:03:59,Closed,105.1,N/A,Failure to Obtain Permit,40,,Princeton,ST,East Boston,MA,02128,01,40 Princeton,,East Boston,MA,02128,113343,42.377060000269346,-71.03775000103094,"(42.377060000269346, -71.03775000103094)"
1672,V737651,1013,2024-02-01 09:54:36,Open,105.1,N/A,Failure to Obtain Permit,1162,,Morton,ST,Mattapan,MA,02126,17,1162 Morton ST,,MATTAPAN,MA,02126,97659,42.27580999998645,-71.07323000122231,"(42.27580999998645, -71.07323000122231)"
1673,V737468,1013,2024-01-31 14:12:27,Closed,1001.3.2,N/A,Testing & Certification,24,,Hull,ST,Boston,MA,02113,03,87 TERRACE HALL AVENUE,,BURLINGTON,MA,01803,75910,42.36664000006981,-71.05568000087409,"(42.36664000006981, -71.05568000087409)"
1674,V737465,1013,2024-01-31 13:55:56,Closed,102.8,N/A,Maintenance,174,176,Eighth,ST,South Boston,MA,02127,06,48 ELM STREET UNIT A,,"SOMERVILLE,",MA,02143,52532,42.33407999983591,-71.05245000083403,"(42.33407999983591, -71.05245000083403)"
1675,V737243,1013,2024-01-30 15:20:52,Closed,107.4,N/A,Failed to comply w permit term,632,638,Centre,ST,Jamaica Plain,MA,02130,19,1247 Beacon St,,Brookline,MA,02446,28146,42.31350787848523,-71.11382127948202,"(42.31350787848523, -71.11382127948202)"
1676,V737239,1013,2024-01-30 14:50:01,Closed,111.1,N/A,Certificate of Occupancy,101,,Hampden,ST,Roxbury,MA,02119,08,160 Middlesex Turnpike,,Bedford,MA,01730,172754,42.330104911661714,-71.07509927039419,"(42.330104911661714, -71.07509927039419)"
1677,V736603,1013,2024-01-30 11:23:18,Closed,102.8,N/A,Maintenance,54,,Monadnock,ST,Dorchester,MA,02125,13,50 Monadnock St,,Dorchester,MA,02125,167757,42.315504055482755,-71.0690468592006,"(42.315504055482755, -71.0690468592006)"
1678,V737190,1013,2024-01-30 11:11:24,Closed,102.8,N/A,Maintenance,52,,Monadnock,ST,Dorchester,MA,02125,13,50 Monadnock St,,Dorchester,MA,02125,355689,42.315522321807975,-71.06913478696708,"(42.315522321807975, -71.06913478696708)"
1679,V737184,1013,2024-01-30 11:03:21,Closed,1001.3.2,N/A,Testing & Certification,142,,Bowdoin,ST,Boston,MA,02108,03,475 COMMONWEALTH AVENUE SUITE 105,,BOSTON,MA,02215,356415,42.35850000006073,-71.06266000088746,"(42.35850000006073, -71.06266000088746)"
1680,V736700,1013,2024-01-26 13:41:20,Open,102.8,N/A,Maintenance,33,,Groveland,ST,Mattapan,MA,02126,17,33 Groveland Street,,Mattapan,MA,02126,67611,42.27277999976692,-71.07703000200492,"(42.27277999976692, -71.07703000200492)"
1681,V736699,1013,2024-01-26 13:23:48,Closed,105.1,N/A,Failure to Obtain Permit,84,86,Centre,ST,Dorchester,MA,02124,17,58 ARNOLD RD,C/O DUOC V PHAM,QUINCY,MA,02171,28461,42.2915200001445,-71.06789000137266,"(42.2915200001445, -71.06789000137266)"
1682,V736697,1013,2024-01-26 13:12:03,Closed,105.1,N/A,Failure to Obtain Permit,14,16,Vershire,ST,West Roxbury,MA,02132,20,14-16 VERSHIRE ST,,WEST ROXBURY,MA,02132,140125,42.27174999995059,-71.1461700017039,"(42.27174999995059, -71.1461700017039)"
1683,V736605,1013,2024-01-25 15:20:23,Closed,1001.3.2,N/A,Testing & Certification,41,45,Broad,ST,Boston,MA,02109,03,"C/O New Urban Partners, LLC",109 Chestnut Street #5,Boston,MA,02108,20468,42.35818000037213,-71.0543800007643,"(42.35818000037213, -71.0543800007643)"
1684,V736329,1013,2024-01-24 14:19:23,Closed,105.1,N/A,Failure to Obtain Permit,105,,Cushing,AV,Dorchester,MA,02125,13,105 CUSHING AVE,,DORCHESTER,MA,02125,45110,42.31323999953761,-71.0626100017807,"(42.31323999953761, -71.0626100017807)"
1685,V736322,1013,2024-01-24 13:39:51,Open,107.4,N/A,Failed to comply w permit term,24,,Richmere,RD,Mattapan,MA,02126,18,24 RICHMERE ROAD,,BOSTON,MA,02126,115719,42.26931000000884,-71.10100000094965,"(42.26931000000884, -71.10100000094965)"
1686,V736311,1013,2024-01-24 13:25:58,Open,310.1,N/A,Emergency Openings,24,,Richmere,RD,Mattapan,MA,02126,18,24 RICHMERE ROAD,,BOSTON,MA,02126,115719,42.26931000000884,-71.10100000094965,"(42.26931000000884, -71.10100000094965)"
1687,V736268,1013,2024-01-24 10:00:56,Closed,1001.3.2,N/A,Testing & Certification,8,,Johnny,CT,Boston,MA,02111,03,"4 REPTON CIRCLE, Unit 4302",,WATERTOWN,MA,02472,79891,42.34788000063696,-71.06329000164628,"(42.34788000063696, -71.06329000164628)"
1688,V736267,1013,2024-01-24 09:56:24,Closed,1001.3.2,N/A,Testing & Certification,6,,Johnny,CT,Boston,MA,02111,03,207 CHESTNUT ST,C/O LEUNG ASSOCIATION RLTY LLC,LYNN,MA,01902,79889,42.347860000347175,-71.06322000131543,"(42.347860000347175, -71.06322000131543)"
1689,V736258,1013,2024-01-24 09:35:45,Closed,1001.3.2,N/A,Testing & Certification,2,,Johnny,CT,Boston,MA,02111,03,2 JOHNNY CT,,BOSTON,MA,02111,79885,42.34782000035588,-71.06307000130532,"(42.34782000035588, -71.06307000130532)"
1690,V736054,1013,2024-01-23 09:37:39,Closed,102.8,N/A,Maintenance,1690,1692,Columbia,RD,South Boston,MA,02127,07,80 LORING RD,,WESTON,MA,02493,35120,42.329969999915996,-71.03420000120572,"(42.329969999915996, -71.03420000120572)"
1691,V735863,1013,2024-01-22 11:41:26,Closed,105.1,N/A,Failure to Obtain Permit,338,,Centre,ST,Jamaica Plain,MA,02130,10,338 Centre Street,,Jamaica Plain,MA,02130,203693,42.32237000024816,-71.10633000145933,"(42.32237000024816, -71.10633000145933)"
1692,V735839,1013,2024-01-22 10:17:40,Closed,4-3,N/A,Building or Use of Premise req,12,,Plain,ST,Dorchester,MA,02122,16,300 ADAMS STREET,,DORCHESTER,MA,02122,110963,42.28658659176874,-71.0489408932865,"(42.28658659176874, -71.0489408932865)"
1693,V709083,1013,2024-01-18 13:41:38,Closed,105.1,N/A,Failure to Obtain Permit,11,5,Ashmont,PK,Dorchester,MA,02124,16,53 Beaumont Street,,Dorchester,MA,02124,5301,42.286587999857176,-71.06362600113096,"(42.286587999857176, -71.06362600113096)"
1694,V727128,1013,2024-01-18 09:16:32,Closed,116,N/A,Unsafe Structures,40,,Trinity,PL,Boston,MA,02116,04,C/O THE NOANNET GROUP,425 BOYLSTON STREET,BOSTON,MA,02116,341077,42.34840397218441,-71.07503502538228,"(42.34840397218441, -71.07503502538228)"
1695,V726653,1013,2024-01-17 11:41:32,Closed,110.11,N/A,Deteriorating Agents,1190,,VFW,PW,West Roxbury,MA,02132,20,"10500 LITTLE PATUXENT PARKWAY,SUIT 300",,"COLUMBIA,",MA,021244,155530,42.2810700002151,-71.17034000124355,"(42.2810700002151, -71.17034000124355)"
1696,V726631,1013,2024-01-17 08:16:27,Closed,102.8,N/A,Maintenance,1190,,VFW,PW,West Roxbury,MA,02132,20,"10500 Little Patuxent Parkway, Suit 300",,Columbia,MD,21044,155530,42.2810700002151,-71.17034000124355,"(42.2810700002151, -71.17034000124355)"
1697,V726456,1013,2024-01-16 10:43:38,Closed,2.04(3),N/A,Permits,392,,Beech,ST,Roslindale,MA,02131,18,39 Myrtle Street,,Norwood,MA,02062,13214,42.277850000003276,-71.13583000213023,"(42.277850000003276, -71.13583000213023)"
1698,V726438,1013,2024-01-16 09:35:41,Closed,110.14,N/A,Electrical Connections,392,,Beech,ST,Roslindale,MA,02131,18,39 Myrtle Street,,Norwood,MA,02062,13214,42.277850000003276,-71.13583000213023,"(42.277850000003276, -71.13583000213023)"
1699,V726405,1013,2024-01-16 08:02:01,Closed,105.1,N/A,Failure to Obtain Permit,956,,Saratoga,ST,East Boston,MA,02128,01,956 SARATOGA,,EAST BOSTON,MA,02128,122889,42.38698999961587,-71.00897000168189,"(42.38698999961587, -71.00897000168189)"
1700,V726186,1013,2024-01-12 14:26:38,Closed,102.8,N/A,Maintenance,544,,Saratoga,ST,East Boston,MA,02128,01,544 SARATOGA ST,C/O WILSON CORREA,EAST BOSTON,MA,02128,122703,42.38091999976141,-71.02523000180415,"(42.38091999976141, -71.02523000180415)"
1701,V726136,1013,2024-01-12 09:08:01,Closed,116,N/A,Unsafe Structures,546,,Saratoga,ST,East Boston,MA,02128,01,101 ACCESS RD SUITE 201,,NORWOOD,MA,02062,122704,42.38092319034452,-71.02510173291778,"(42.38092319034452, -71.02510173291778)"
1702,V726017,1013,2024-01-11 14:16:51,Closed,102.8,N/A,Maintenance,159,,Calumet,ST,Mission Hill,MA,02120,10,159 CALUMET ST,,ROXBURY,MA,02120,24946,42.32948999942739,-71.10233000200516,"(42.32948999942739, -71.10233000200516)"
1703,V725724,1013,2024-01-10 12:42:53,Closed,102.8,N/A,Maintenance,91,93,Maxwell,ST,Dorchester,MA,02124,17,91 MAXWELL ST,C/O MICHAEL HECKER TS,DORCHESTER,MA,02124,93156,42.28188999985109,-71.08037000050733,"(42.28188999985109, -71.08037000050733)"
1704,V725354,1013,2024-01-09 08:08:50,Closed,116,N/A,Unsafe Structures,61,,Bailey,ST,Dorchester,MA,02124,17,35 WRENTHAM ST,C/O PATRICIA BURTON,DORCHESTER,MA,02124,7554,42.28433000011997,-71.06647000143151,"(42.28433000011997, -71.06647000143151)"
1705,V724069,1013,2024-01-08 10:08:19,Closed,105.1,N/A,Failure to Obtain Permit,8,,Navillus,TE,Dorchester,MA,02122,15,8 NAVILLUS TERR,,DORCHESTER,MA,02122,100446,42.31008999981158,-71.06192000132997,"(42.31008999981158, -71.06192000132997)"
1706,V724067,1013,2024-01-08 09:50:46,Closed,102.8,N/A,Maintenance,108,,Bremen,ST,East Boston,MA,02128,01,108 Bremen ST,,EAST BOSTON,MA,02128,19760,42.371299999408656,-71.03630000157052,"(42.371299999408656, -71.03630000157052)"
1707,V723795,1013,2024-01-05 15:49:28,Closed,105.1,N/A,Failure to Obtain Permit,71,,Perkins,ST,Charlestown,MA,02129,02,301 BROADWAY,,CHELSEA,MA,02150,109569,42.38444999933205,-71.07853000157296,"(42.38444999933205, -71.07853000157296)"
1708,V723793,1013,2024-01-05 15:30:06,Open,102.8,N/A,Maintenance,680,,Morton,ST,Dorchester,MA,02124,14,686 MORTON ST,,BOSTON,MA,02126,97762,42.28473999989685,-71.09209000160361,"(42.28473999989685, -71.09209000160361)"
1709,V723790,1013,2024-01-05 14:44:28,Closed,102.2.2,N/A,Municipal Bylaws or Ordinances,78,88,Tremont,ST,Boston,MA,02108,03,88 TREMONT ST,,BOSTON,MA,02108,138003,42.35748999972609,-71.06052000199588,"(42.35748999972609, -71.06052000199588)"
1710,V723743,1013,2024-01-05 08:48:17,Closed,105.1,N/A,Failure to Obtain Permit,30,,Ridgewood,ST,Dorchester,MA,02122,15,11 Dunlap street,,Dorchester,MA,02124,116007,42.3020900003562,-71.06638000104185,"(42.3020900003562, -71.06638000104185)"
1711,V667693,1013,2024-01-04 08:20:00,Closed,3307.1,N/A,Protection of Adj. Property,117,,Academy Hill,RD,Brighton,MA,02135,22,117 ACADEMY HILL ROAD,,BRIGHTON,MA,02135,217,42.34535999985303,-71.15525000152502,"(42.34535999985303, -71.15525000152502)"
1712,V723394,1013,2024-01-03 15:38:26,Closed,102.8,N/A,Maintenance,242,,Fifth,ST,South Boston,MA,02127,06,242 WEST FIFTH ST,,SOUTH BOSTON,MA,02127,58236,42.33595999998131,-71.04974000075225,"(42.33595999998131, -71.04974000075225)"
1713,V600357,1013,2024-01-03 15:15:18,Open,3310.2,N/A,Maintenance of Means of Egress,222,,Paris,ST,East Boston,MA,02128,01,222 PARIS ST,,EAST BOSTON,MA,02128,106515,42.374960000668004,-71.03491000130354,"(42.374960000668004, -71.03491000130354)"
1714,V723260,1013,2024-01-03 09:54:52,Closed,102.8,N/A,Maintenance,15,,Cooper,ST,Boston,MA,02113,03,186 SOUTH STREET SUIT 200,,BOSTON,MA,02111,42387,42.36454000020066,-71.05622000130444,"(42.36454000020066, -71.05622000130444)"
1715,V723255,1013,2024-01-03 09:46:15,Closed,102.8,N/A,Maintenance,157,,River,ST,Mattapan,MA,02126,18,1825 DORCHESTER AVE,,DORCHESTER,MA,02124,116488,42.271819999230516,-71.07779000102603,"(42.271819999230516, -71.07779000102603)"
1716,V723249,1013,2024-01-03 09:32:57,Closed,102.8,N/A,Maintenance,1927,1935,Beacon,ST,Brighton,MA,02135,21,1 CVS DRIVE STORE ACCT DEPT,C/O CVS 55-03,WOONSOCKET,RI,02895,10017,42.33590644537149,-71.14903137219763,"(42.33590644537149, -71.14903137219763)"
1717,V723227,1013,2024-01-03 08:45:27,Closed,105.1,N/A,Failure to Obtain Permit,33,,Stratton,ST,Dorchester,MA,02124,14,33 STRATTON ST,,DORCHESTER,MA,02124,131609,42.28986000064755,-71.0880400014652,"(42.28986000064755, -71.0880400014652)"
1718,V723093,1013,2024-01-02 15:44:01,Closed,105.1,N/A,Failure to Obtain Permit,182,,Heath,ST,Jamaica Plain,MA,02130,10,184 HEATH ST,,JAMAICA PLAIN,MA,02130,72322,42.32595300026398,-71.10495500128377,"(42.32595300026398, -71.10495500128377)"
1719,V723010,1013,2024-01-02 11:15:34,Closed,102.8,N/A,Maintenance,135, ,CLARENDON,ST,BOSTON,MA,02116,04,135 Clarendon Street,6th Floor,Boston,MA,02116,,,,
1720,V723024,1013,2024-01-02 11:14:10,Closed,102.8,N/A,Maintenance,14,16,Hartwell,ST,Dorchester,MA,02121,12,14  HARTWELL ST,,DORCHESTER,MA,02121,70287,42.309254000565346,-71.08401400184908,"(42.309254000565346, -71.08401400184908)"
1721,V723003,1013,2024-01-02 10:34:23,Closed,102.8,N/A,Maintenance,50,,Fairlawn,AV,Mattapan,MA,02126,18,C/O DSF GROUP,341 NEWBURY ST SUITE 5,BOSTON,MA,02115,341617,42.26891263260284,-71.10063515080546,"(42.26891263260284, -71.10063515080546)"
1722,V722998,1013,2024-01-02 10:22:55,Closed,102.8,N/A,Maintenance,80,90,Glenway,ST,Dorchester,MA,02121,14,3 SASHA CI,,PEABODY,MA,01960,64764,42.30028999974378,-71.08238000051979,"(42.30028999974378, -71.08238000051979)"
1723,V722994,1013,2024-01-02 10:12:39,Closed,102.8,N/A,Maintenance,471,473,Albany,ST,Roxbury,MA,02118,03,"95 Broadway St, @2nd floor",,Boston,MA,02116,1541,42.33974000040875,-71.06500000099311,"(42.33974000040875, -71.06500000099311)"
1724,V722982,1013,2024-01-02 09:43:43,Closed,3307.1,N/A,Protection of Adj. Property,96,,Moreland,ST,Roxbury,MA,02119,08,96 MORELAND,,ROXBURY,MA,02119,97443,42.32324999945195,-71.07710000092713,"(42.32324999945195, -71.07710000092713)"
1725,V709051,1013,2024-01-02 08:37:45,Open,105.1,N/A,Failure to Obtain Permit,13,,Chelsea,ST,East Boston,MA,02128,01,13 CHELSEA STREET,,EAST BOSTON,MA,02128,30310,42.37030000010808,-71.03806000169266,"(42.37030000010808, -71.03806000169266)"
1726,V707982,1013,2024-01-02 08:29:04,Open,501.2.1,N/A,Location of Exhaust Outlets,66,,Tremont,ST,Charlestown,MA,02129,02,66 TREMONT STREET,,CHARLESTOWN,MA,02129,136746,42.37588999965831,-71.05718000111737,"(42.37588999965831, -71.05718000111737)"
1727,V722711,1013,2023-12-29 10:55:36,Closed,102.8,N/A,Maintenance,30,,Messinger,ST,Mattapan,MA,02126,18,30 MESSINGER ST,C/O RENEE V SANDEFER,MATTAPAN,MA,02126,94724,42.272949999986615,-71.09901000171094,"(42.272949999986615, -71.09901000171094)"
1728,V722705,1013,2023-12-29 10:27:05,Closed,102.8,N/A,Maintenance,10,,Westerly,ST,Jamaica Plain,MA,02130,10,10 WESTERLY ST,,JAMAICA PLAIN,MA,02130,148119,42.323380000678455,-71.10693000162844,"(42.323380000678455, -71.10693000162844)"
1729,V722461,1013,2023-12-28 10:04:33,Open,4-3,N/A,Building or Use of Premise req,22,24,Wrentham,ST,Dorchester,MA,02124,16,24 WRENTHAM ST,,DORCHESTER,MA,02124,152984,42.28783000025943,-71.06280000182929,"(42.28783000025943, -71.06280000182929)"
1730,V722459,1013,2023-12-28 09:30:11,Open,102.8,N/A,Maintenance,20,,Rockville,PK,Roxbury,MA,02119,12,167 JEFFERSON AVE UNIT 2,,EVERETT,MA,02149,117917,42.32494999979669,-71.08218000162935,"(42.32494999979669, -71.08218000162935)"
1731,V722287,1013,2023-12-27 09:48:59,Open,105.1,N/A,Failure to Obtain Permit,37,,Neponset,AV,Dorchester,MA,02122,16,70 MEADOWBROOK ROAD,,WESTON,MA,02493,100872,42.29611399987678,-71.05505200109013,"(42.29611399987678, -71.05505200109013)"
1732,V722143,1013,2023-12-26 13:38:42,Closed,102.8,N/A,Maintenance,31,,Wooddale,AV,Mattapan,MA,02126,18,86 HOLLINGSWORTH RD,,MILTON,MA,02186,151500,42.276719999944305,-71.08843000147898,"(42.276719999944305, -71.08843000147898)"
1733,V722141,1013,2023-12-26 13:28:56,Closed,102.8,N/A,Maintenance,767,,Dudley,ST,Dorchester,MA,02125,13,578 COLUMBIA RD,,DORCHESTER,MA,02125,384640,42.317209999568,-71.0659200006711,"(42.317209999568, -71.0659200006711)"
1734,V722138,1013,2023-12-26 13:13:20,Closed,105.1,N/A,Failure to Obtain Permit,107,,Heath,ST,Mission Hill,MA,02120,10,74 Coolidge st,,Brookline,MA,02120,166161,42.326460000133686,-71.10242000089026,"(42.326460000133686, -71.10242000089026)"
1735,V722080,1013,2023-12-26 09:49:03,Closed,105.1,N/A,Failure to Obtain Permit,22,24,Wrentham,ST,Dorchester,MA,02124,16,24 WRENTHAM ST,,DORCHESTER,MA,02124,152984,42.28783000025943,-71.06280000182929,"(42.28783000025943, -71.06280000182929)"
1736,V722075,1013,2023-12-26 09:44:18,Closed,105.1,N/A,Failure to Obtain Permit,20,,Rockville,PK,Roxbury,MA,02119,12,20 Rockville Park,,Roxbury,MA,02119,117917,42.32494999979669,-71.08218000162935,"(42.32494999979669, -71.08218000162935)"
1737,V722059,1013,2023-12-26 08:54:20,Closed,102.8,N/A,Maintenance,20,,Rockville,PK,Roxbury,MA,02119,12,167 JEFFERSON AVE UNIT 2,,EVERETT,MA,02149,117917,42.32494999979669,-71.08218000162935,"(42.32494999979669, -71.08218000162935)"
1738,V721976,1013,2023-12-22 09:43:46,Open,102.8,N/A,Maintenance,6,,Paula,RD,Mattapan,MA,02126,17,6 Paula RD,,Mattapan,ma,02126,108647,42.27521000076566,-71.07614000087835,"(42.27521000076566, -71.07614000087835)"
1739,V721969,1013,2023-12-22 09:34:05,Closed,116.1,N/A,Unsafe and Dangerous,741,,VFW,PW,West Roxbury,MA,02132,20,29 CASPAR ST,C/O RANDY KUMMINS,WEST ROXBURY,MA,02132,140383,42.292804000429584,-71.16449300135773,"(42.292804000429584, -71.16449300135773)"
1740,V721847,1013,2023-12-21 11:03:07,Closed,107.6,N/A,Failure to comply w permits,10A,,Park,LN,Jamaica Plain,MA,02130,11,10 PARK LA,,JAMAICA PLAIN,MA,02130,455305,42.310738398274495,-71.09918585894624,"(42.310738398274495, -71.09918585894624)"
1741,V721837,1013,2023-12-21 10:30:11,Closed,102.8,N/A,Maintenance,21,,Imrie,RD,Allston,MA,02134,21,57 LEGDGELAWN AVE,,LEXINGTON,MA,02420,78030,42.35210000012374,-71.13841000053316,"(42.35210000012374, -71.13841000053316)"
1742,V721833,1013,2023-12-21 10:19:05,Closed,102.8,N/A,Maintenance,45,,Collins,ST,Hyde Park,MA,02136,18,45 COLLINS ST,C/O CLAUDETTE STEWART,HYDE PARK,MA,02136,34785,42.271199999986884,-71.11750000082625,"(42.271199999986884, -71.11750000082625)"
1743,V721831,1013,2023-12-21 10:11:05,Closed,102.8,N/A,Maintenance,11,,Royce,RD,Allston,MA,02134,21,60 LEO M BIRMINGHAM PKWY,,BRIGHTON,MA,02135,119328,42.34899999961315,-71.13181000205701,"(42.34899999961315, -71.13181000205701)"
